set,value
s_,0.0
s_0,0.5211722608364653
s_1,-0.0001300234616792295
s_2,-7.141451351344585e-05
s_3,-9.857922850642353e-05
s_4,0.24322161634336226
s_5,0.19932965000043623
s_6,0.02033499811659567
s_7,0.005063604534370825
s_8,0.0037627382844220847
s_0_1,0.9445533510006499
s_0_2,0.8402955289639067
s_0_3,0.8964827414311003
s_0_4,0.7337388153828215
s_0_5,0.9156814571178984
s_0_6,0.6282167192257475
s_0_7,0.19024186392198317
s_0_8,0.22883470912347548
s_1_2,-0.00012642068759305403
s_1_3,0.017959782824618742
s_1_4,0.1374751683033537
s_1_5,0.7422323580540251
s_1_6,0.008434363611740991
s_1_7,0.005711509817047045
s_1_8,0.020728366420371458
s_2_3,0.009520145104033872
s_2_4,0.7187237497128081
s_2_5,0.6210216637409758
s_2_6,0.023636730358703062
s_2_7,0.005923856020672247
s_2_8,0.01637408320675604
s_3_4,0.6267931814945769
s_3_5,0.9467518683231901
s_3_6,0.034544309572083876
s_3_7,0.007738014654023573
s_3_8,0.018569398642284796
s_4_5,0.9728087540424895
s_4_6,0.8320826049603056
s_4_7,0.9181350823200773
s_4_8,0.6800413485325407
s_5_6,0.9217616673267912
s_5_7,0.9376665111340117
s_5_8,0.620052194193704
s_6_7,0.006229838792933151
s_6_8,0.025846580014331266
s_7_8,0.0395483988977503
s_0_1_2,0.9594669695652556
s_0_1_3,0.9904899354733061
s_0_1_4,0.942410444811685
s_0_1_5,0.9732567425526213
s_0_1_6,0.9588683005131315
s_0_1_7,0.9218947048939299
s_0_1_8,0.9201968665875029
s_0_2_3,0.9644034262455534
s_0_2_4,0.9288449044979643
s_0_2_5,0.9704800601757597
s_0_2_6,0.9224024768627714
s_0_2_7,0.7533284779347014
s_0_2_8,0.6759081836498808
s_0_3_4,0.9866432901180815
s_0_3_5,0.9690437074459624
s_0_3_6,0.9649586435116362
s_0_3_7,0.8051555510319304
s_0_3_8,0.6913889404095244
s_0_4_5,0.9828786607540678
s_0_4_6,0.9504696484364104
s_0_4_7,0.9626789446629118
s_0_4_8,0.8729981537617277
s_0_5_6,0.9477722998417448
s_0_5_7,0.9695827122486662
