set,value
s_,0.0
s_0,0.0017788309414754622
s_1,0.00027323775429977104
s_2,0.0021562543042819016
s_3,0.0007811607138137333
s_4,-5.0630980695132166e-05
s_5,0.0019348370187799446
s_6,0.0004628888491424732
s_7,0.0005937225578236394
s_8,0.013675332236743998
s_0_1,0.0009524009001324885
s_0_2,0.0028918887765030377
s_0_3,0.0006818885958637111
s_0_4,0.00038165580917848274
s_0_5,0.0016407012517447583
s_0_6,0.0035828146428684704
s_0_7,0.013150779697753023
s_0_8,0.058005963619507384
s_1_2,0.001421161046891939
s_1_3,0.0003758065795409493
s_1_4,0.000132289387693163
s_1_5,0.0007021491110208444
s_1_6,0.0027087546695838682
s_1_7,0.010087776165164541
s_1_8,0.05814160888985498
s_2_3,0.0013603261249954812
s_2_4,0.0007815177013981156
s_2_5,0.004651972260035109
s_2_6,0.003409105287573766
s_2_7,0.026683760042942595
s_2_8,0.10937482601002557
s_3_4,0.0009259838188881986
s_3_5,0.0017454150874982588
s_3_6,0.0021476507463376038
s_3_7,0.03329328929976327
s_3_8,0.095149708147801
s_4_5,0.0009826845998759381
s_4_6,0.0005555055613513105
s_4_7,0.011656421404040884
s_4_8,0.11124171799019678
s_5_6,0.008260114285803866
s_5_7,0.08287207519606454
s_5_8,0.1676347527463804
s_6_7,0.0041357676309417
s_6_8,0.03207444136933191
s_7_8,0.006830454040027689
s_0_1_2,0.0012475067560444586
s_0_1_3,0.0004964391046087258
s_0_1_4,0.00029298234585439786
s_0_1_5,0.001112788035243284
s_0_1_6,0.003065407909161877
s_0_1_7,0.02722391037241323
s_0_1_8,0.06413023656205041
s_0_2_3,0.0025038001404027455
s_0_2_4,0.002369515765167307
s_0_2_5,0.006425671912438702
s_0_2_6,0.013610833491839003
s_0_2_7,0.08772025739745004
s_0_2_8,0.14957034325198038
s_0_3_4,0.0009302062026108615
s_0_3_5,0.001961233494512271
s_0_3_6,0.00219280685269041
s_0_3_7,0.06859303748206003
s_0_3_8,0.12189091479376657
s_0_4_5,0.0013032703936914913
s_0_4_6,0.000960168479650747
s_0_4_7,0.042881158347881865
s_0_4_8,0.05666663980082376
s_0_5_6,0.010407997462607455
s_0_5_7,0.0774884868224035
s_0_5_8,0.10684726124600274
s_0_6_7,0.0229581791718374
s_0_6_8,0.1486610445936094
s_0_7_8,0.013948037456430029
s_1_2_3,0.0007241002676892094
s_1_2_4,0.0009671416410128586
s_1_2_5,0.0025979701240430586
s_1_2_6,0.005329905245162081
s_1_2_7,0.06397533899144037
s_1_2_8,0.10638551151350839
s_1_3_4,0.0007655837034690194
s_1_3_5,0.0008937785678426735
s_1_3_6,0.00215791415394051
s_1_3_7,0.07502369319990976
s_1_3_8,0.10316306089953287
s_1_4_5,0.00034690801840042695
s_1_4_6,0.0005041831682319753
s_1_4_7,0.09828657394245965
s_1_4_8,0.04524800291255815
s_1_5_6,0.008127413857437205
s_1_5_7,0.1225423637588392
s_1_5_8,0.1440049234588514
s_1_6_7,0.025763719509996008
s_1_6_8,0.10120518242911203
s_1_7_8,0.012631686571694445
s_2_3_4,0.0021898552586208098
s_2_3_5,0.003860420714772772
